Company,ID,Domain,Proposition,,,,,,,,,,,,
Quench Botanics    ,@quenchbotanics,Science Skincare  ,clinical ingredient skincare for sensitive skin,,,,,,,,,,,,
Anua    ,@anua_global,Science Skincare  ,clinical skincare powered by proven actives,,,,,,,,,,,,
Auli Lifestyle   ,@auliglow,Science Skincare  ,science driven acne and barrier repair,,,,,,,,,,,,
Cetaphil India   ,@cetaphil_india,Science Skincare  ,dermatology backed active ingredient skincare,,,,,,,,,,,,
COSRX    ,@cosrx,Science Skincare  ,clinical ingredient skincare for sensitive skin,,,,,,,,,,,,
Simple    ,@simpleskin,Science Skincare  ,lab formulated skincare for real results,,,,,,,,,,,,
Isntree    ,@isntree,Science Skincare  ,dermatology backed active ingredient skincare,,,,,,,,,,,,
Plum    ,@plumgoodness,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
Khadi Natural   ,@khadinatural,Natural Skincare  ,ayurvedic inspired clean beauty rituals,,,,,,,,,,,,
Juicy Chemistry   ,@juicy_chemistry,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
NatHabit    ,@nathabit.in,Natural Skincare  ,herbal ingredient beauty with modern formulation,,,,,,,,,,,,
Forest Essentials   ,@forestessentials,Natural Skincare  ,herbal ingredient beauty with modern formulation,,,,,,,,,,,,
Kama Ayurveda   ,@kamaayurveda,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
SoulTree    ,@soultree.in,Natural Skincare  ,natural toxin free skincare essentials,,,,,,,,,,,,
Just Herbs   ,@justherbsindia,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
Biotique    ,@biotique_world,Natural Skincare  ,ayurvedic inspired clean beauty rituals,,,,,,,,,,,,
Lotus Herbals   ,@lotus_herbals,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
Organic Harvest   ,@oh_ind,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
Rustic Art   ,@rusticart,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
Bare Necessities   ,@barenecessities,Natural Skincare  ,herbal ingredient beauty with modern formulation,,,,,,,,,,,,
Clean Hippie   ,@cleanhippiecbd,Natural Skincare  ,natural toxin free skincare essentials,,,,,,,,,,,,
Vilvah    ,@vilvah_,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
Suganda    ,@suganda.co,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
Arata    ,@arata.in,Hair Care  ,salon inspired haircare for stronger hair,,,,,,,,,,,,
Fix My   ,@fiixmycurls,Hair Care  ,nutrient rich haircare for healthier strands,,,,,,,,,,,,
Ashba Botanics   ,@ashbabotanics,Hair Care  ,curl care and scalp focused treatments,,,,,,,,,,,,
Traya    ,@traya.health,Hair Care  ,targeted hair repair and scalp health,,,,,,,,,,,,
Love Beauty & Planet India,@lovebeautyandplanet,Hair Care  ,curl care and scalp focused treatments,,,,,,,,,,,,
Tresemme India   ,@tresemmeindia,Hair Care  ,targeted hair repair and scalp health,,,,,,,,,,,,
Schwarzkopf India   ,@schwarzkopfindia,Hair Care  ,targeted hair repair and scalp health,,,,,,,,,,,,
MyGlamm    ,@myglamm,Makeup   ,trend driven color cosmetics for everyday glam,,,,,,,,,,,,
Renee Cosmetics   ,@reneeofficial,Makeup   ,professional makeup for bold modern looks,,,,,,,,,,,,
Faces Canada   ,@facescanada,Makeup   ,high performance makeup for long wear,,,,,,,,,,,,
Colorbar    ,@lovecolorbar,Makeup   ,trend driven color cosmetics for everyday glam,,,,,,,,,,,,
Insight Cosmetics   ,@insightcosmetic,Makeup   ,professional makeup for bold modern looks,,,,,,,,,,,,
Iba Cosmetics   ,@ibacosmetics,Makeup   ,affordable beauty essentials for daily makeup,,,,,,,,,,,,
Lakme    ,@lakmeindia,Makeup   ,high performance makeup for long wear,,,,,,,,,,,,
Purplle    ,@letspurplle,Makeup   ,professional makeup for bold modern looks,,,,,,,,,,,,
Swiss Beauty   ,@officialswissbeauty,Makeup   ,affordable beauty essentials for daily makeup,,,,,,,,,,,,
Makeup Revolution India  ,@makeuprevolutionindia,Makeup   ,trend driven color cosmetics for everyday glam,,,,,,,,,,,,
Nykaa Cosmetics   ,@nykaacosmetics,Makeup   ,affordable beauty essentials for daily makeup,,,,,,,,,,,,
Huda Beauty   ,@hudabeauty,Makeup   ,statement cosmetics designed for expressive beauty,,,,,,,,,,,,
Anastasia Beverly Hills  ,@anastasiabeverlyhills,Makeup   ,trend driven color cosmetics for everyday glam,,,,,,,,,,,,
Too Faced   ,@toofaced,Makeup   ,affordable beauty essentials for daily makeup,,,,,,,,,,,,
Smashbox    ,@smashboxcosmetics,Makeup   ,statement cosmetics designed for expressive beauty,,,,,,,,,,,,
Ola Ora   ,@_ola_ora_,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Salt Oral Care  ,@ordersalt,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Raho Safe   ,@rahosafein,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Brushd    ,@just_brushd,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
GutBio    ,@gutbio,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Uncle Peter's   ,@unclepeters,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Oraa Care   ,@oraacaresmiledental,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Dr Gums   ,@themouthdr,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Trycone    ,@tryconeofficial,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Curie Life   ,@teatromariecurie,Oral Care  ,modern brand shaping oral care experiences,,,,,,,,,,,,
Carmesi    ,@mycarmesi,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Azah    ,@azahcare,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
The Woman's Company  ,@thewomanscompany,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Saathi    ,@saathipads,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Niine    ,@niineindia,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Everteen    ,@everteen_wd,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Asan Cup   ,@asancup,Feminine Hygiene  ,modern brand shaping feminine hygiene experiences,,,,,,,,,,,,
Max Fashion   ,@couture.to.the.max,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
MyMuse    ,@mymuse.in,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Misters    ,@mistersdotin,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Bombae    ,@mybombae__,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Isayaah    ,@isayaah__,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Love Depot   ,@lovedepotofficial,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Plume    ,@plumepoetry,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Obino    ,@obinochisala11,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Gytree    ,@askgytree,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Flo Health   ,@flotracker,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
Man Matters   ,@manmatters.hair,Sexual Wellness  ,modern brand shaping sexual wellness experiences,,,,,,,,,,,,
The Moms Co  ,@themomsco,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Slurrp Farm   ,@slurrpfarm,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Baby Forest   ,@babyforestayurveda,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Bebe Burp   ,@bebeburp,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Gaia Baby   ,@gaiababynursery,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Mom & World  ,@momandworld,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Flintobox    ,@flintobox,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Chicco India   ,@chicco_india,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Mothercare India   ,@mothercare_india,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
FirstCry    ,@firstcryindia,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
LuvLap    ,@luvlap.in,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Johnson's Baby India  ,@amy_and_mommy,Baby Care  ,modern brand shaping baby care experiences,,,,,,,,,,,,
Oziva    ,@ozivanutrition,Supplements   ,science backed vitamins for modern lifestyles,,,,,,,,,,,,
Fast&Up    ,@fastandup_performance,Supplements   ,clean supplements supporting everyday health,,,,,,,,,,,,
Setu Nutrition   ,@setuindia,Supplements   ,clean supplements supporting everyday health,,,,,,,,,,,,
Kapiva    ,@kapiva_official,Supplements   ,functional nutrition designed for active living,,,,,,,,,,,,
Himalayan Organics   ,@the_himalayan_organics,Supplements   ,daily nutrition supplements for holistic wellness,,,,,,,,,,,,
Power Gummies   ,@power_gummies,Supplements   ,clean supplements supporting everyday health,,,,,,,,,,,,
Carbamide Forte   ,@carbamideforte,Supplements   ,targeted nutrition for energy immunity performance,,,,,,,,,,,,
Unived    ,@univedusa,Supplements   ,science backed vitamins for modern lifestyles,,,,,,,,,,,,
INLIFE    ,@inlifehealthcare,Supplements   ,science backed vitamins for modern lifestyles,,,,,,,,,,,,
Nutrabay    ,@nutrabay,Supplements   ,science backed vitamins for modern lifestyles,,,,,,,,,,,,
Organic India   ,@organicindiaofficial,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Himalaya Wellness   ,@himalayawellnesscompany,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Dabur    ,@daburnorthamerica,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Zandu    ,@zanducareofficial,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Kerala Ayurveda   ,@keralaayurvedaltd,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Dr Vaidya's   ,@dr.vaidyas,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Nirogam    ,@nirogam_ayurveda,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Sri Sri Tattva  ,@srisritattva,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Satvic Movement   ,@satvicmovement,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Charak Pharma   ,@charakpharma,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
AVP Ayurveda   ,@avpayurveda,Ayurveda   ,modern brand shaping ayurveda experiences,,,,,,,,,,,,
Yoga Bar   ,@yogabarzanzibar,Functional Foods  ,smart snacking powered by wholesome nutrition,,,,,,,,,,,,
Farmley    ,@farmleyin,Functional Foods  ,everyday healthy foods with real ingredients,,,,,,,,,,,,
Happilo    ,@happiloindia,Functional Foods  ,clean label snacks with functional benefits,,,,,,,,,,,,
Nourish You   ,@onegood.in,Functional Foods  ,nutrition focused foods for active lifestyles,,,,,,,,,,,,
Ketofy    ,@ketofy.in,Functional Foods  ,nutrition focused foods for active lifestyles,,,,,,,,,,,,
OOO Farms   ,@ooofarms,Functional Foods  ,clean label snacks with functional benefits,,,,,,,,,,,,
Bagrrys    ,@bagrrys,Functional Foods  ,nutrition focused foods for active lifestyles,,,,,,,,,,,,
Snack Amor   ,@snackamor,Functional Foods  ,smart snacking powered by wholesome nutrition,,,,,,,,,,,,
Gudmom    ,@gudmomindia,Functional Foods  ,everyday healthy foods with real ingredients,,,,,,,,,,,,
Grainful    ,@grainfulgoodness,Functional Foods  ,everyday healthy foods with real ingredients,,,,,,,,,,,,
Sampoorna Ahara   ,@sampoornaahara,Functional Foods  ,everyday healthy foods with real ingredients,,,,,,,,,,,,
Tong Garden India  ,@tonggardenfood,Functional Foods  ,nutrition focused foods for active lifestyles,,,,,,,,,,,,
RiteBite    ,@ritebite_maxprotein,Functional Foods  ,smart snacking powered by wholesome nutrition,,,,,,,,,,,,
Oziva    ,@ozivanutrition,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Boldfit    ,@boldfit_official,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Nutrabay    ,@nutrabay,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
AS-IT-IS Nutrition   ,@asitisnutrition,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Scitron    ,@scitronpro,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Avvatar    ,@avvatarindia,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
BigMuscles    ,@bigmuscles_nutrition_stores,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Steadfast Nutrition   ,@steadfastnutrition,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Athlo Nutrition   ,@athlonnutrition,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Six Pack Nutrition  ,@sixpack.nutrition,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
ProNutritionist    ,@pronutritionist,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
HK Vitals   ,@hkvitals,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
GNC India   ,@guardiangnc,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Fast&Up Sports   ,@fastcompany,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Carbamide Forte   ,@carbamideforte,Protein Nutrition  ,modern brand shaping protein nutrition experiences,,,,,,,,,,,,
Araku Coffee   ,@arakucoffee,Specialty Coffee  ,premium beans sourced from unique origins,,,,,,,,,,,,
Country Bean   ,@countrybeancoffee,Specialty Coffee  ,specialty brews celebrating origin and roasting,,,,,,,,,,,,
,,Specialty Coffee  ,craft coffee roasted for rich flavor,,,,,,,,,,,,
KC Roasters   ,@kccoffeecollectiveco,Specialty Coffee  ,specialty brews celebrating origin and roasting,,,,,,,,,,,,
Black Baza Coffee  ,@blackbazacoffee,Specialty Coffee  ,indie coffee culture built on craft roasting,,,,,,,,,,,,
Curious Life Coffee  ,@curiouslifecoffee,Specialty Coffee  ,specialty brews celebrating origin and roasting,,,,,,,,,,,,
Woke Roastery   ,@wokecoffee.club,Specialty Coffee  ,indie coffee culture built on craft roasting,,,,,,,,,,,,
Jimmy's Iced Coffee  ,@jimmysicedcoffee,Specialty Coffee  ,specialty roasted coffee crafted for enthusiasts,,,,,,,,,,,,
Subko Coffee   ,@subkocoffee,Specialty Coffee  ,craft coffee roasted for rich flavor,,,,,,,,,,,,
Corridor Seven Coffee  ,@corridorsevencoffee,Specialty Coffee  ,specialty brews celebrating origin and roasting,,,,,,,,,,,,
Devans Coffee   ,@devanscoffee,Specialty Coffee  ,premium beans sourced from unique origins,,,,,,,,,,,,
Beanly Coffee   ,@beanly,Specialty Coffee  ,specialty brews celebrating origin and roasting,,,,,,,,,,,,
Tea Trunk   ,@teatrunk,Specialty Tea  ,single estate teas with authentic flavor,,,,,,,,,,,,
Karma Kettle   ,@karmakettleteas,Specialty Tea  ,premium whole leaf teas from estates,,,,,,,,,,,,
Sancha Tea   ,@sanchateaboutique,Specialty Tea  ,premium whole leaf teas from estates,,,,,,,,,,,,
Golden Tips Tea  ,@goldentipsindia,Specialty Tea  ,specialty teas crafted for refined taste,,,,,,,,,,,,
Halmari Tea   ,@halmaritea,Specialty Tea  ,single estate teas with authentic flavor,,,,,,,,,,,,
Vedic Tea   ,@vedicteasuae,Specialty Tea  ,premium whole leaf teas from estates,,,,,,,,,,,,
Dorje Teas   ,@dorjeteas,Specialty Tea  ,heritage teas sourced from select gardens,,,,,,,,,,,,
Tea Sense   ,@theteasense,Specialty Tea  ,heritage teas sourced from select gardens,,,,,,,,,,,,
The Tea Shelf  ,@theteashelf,Specialty Tea  ,luxury tea blends for modern drinkers,,,,,,,,,,,,
Chamong Tea   ,@chamongteaonline,Specialty Tea  ,luxury tea blends for modern drinkers,,,,,,,,,,,,
Tea Treasure   ,@teatreasure.official,Specialty Tea  ,heritage teas sourced from select gardens,,,,,,,,,,,,
Mittal Teas   ,@mittalteas,Specialty Tea  ,luxury tea blends for modern drinkers,,,,,,,,,,,,
Sids Farm   ,@sidsfarmpure,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Pride of Cows  ,@prideofcowsindia,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Jivika Naturals   ,@jivikafood,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
The Cheese Collective  ,@thecheesecollective,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
La Ferme Cheese  ,@lafermecheese,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Probutter    ,@probutter,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Raw Pressery   ,@rawpressery,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Amul    ,@amul_india,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Mother Dairy   ,@motherdairy,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Gowardhan    ,@gowardhanindia,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Milky Mist   ,@milkymistdairy,Dairy & Farm ,modern brand shaping dairy & farm experiences,,,,,,,,,,,,
Blue Tribe   ,@bluetribeofficial,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Shaka Harry   ,@shakaharryind,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Only Earth   ,@onlyearthofficial,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Urban Platter   ,@urbanplatter.in,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
So Good   ,@sogoodsoooogood,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Vegan Pantry   ,@the_vegan_pantry,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Eat With Better  ,@eatwithbetter,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Vegolution    ,@sarah.broome,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Green Sense   ,@greensenseorganic,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Alt Co   ,@thealtcompany,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Plantaway    ,@plantawayfoods,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Terra Greens   ,@terragreensorg,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Epigamia Vegan   ,@epigamiaindiaofficial,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Oatly    ,@oatly,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Califia Farms   ,@califiafarms,Plant-Based   ,modern brand shaping plant-based experiences,,,,,,,,,,,,
Jimmys Cocktails   ,@jimmysbeverages,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
&Stirred    ,@bba_development_inc,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Sula Vineyards   ,@sula_vineyards,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Grover Zampa   ,@groverzampa,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Amrut Distilleries   ,@amrutdistilleries,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Godawan    ,@godawansinglemalt,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Stranger & Sons  ,@strangerandsons,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
White Owl   ,@whiteowlbrewery,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Simba Beer   ,@simbabeer,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Rise Kombucha   ,@risekombucha,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Bhu Kombucha   ,@bhuliving,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
Paper Boat   ,@paperboatdrinks,Beverages   ,modern brand shaping beverages experiences,,,,,,,,,,,,
The Pant Project  ,@thepantproject,Men's Fashion  ,youth driven fashion with bold identity,,,,,,,,,,,,
Rare Rabbit   ,@rarerabbit_in,Men's Fashion  ,modern menswear built for everyday style,,,,,,,,,,,,
Wrogn    ,@staywrogn,Men's Fashion  ,contemporary apparel for confident modern men,,,,,,,,,,,,
Andamen    ,@andamenlife,Men's Fashion  ,contemporary apparel for confident modern men,,,,,,,,,,,,
Bewakoof    ,@bewakoofofficial,Men's Fashion  ,youth driven fashion with bold identity,,,,,,,,,,,,
XYXX    ,@xyxxcrew,Men's Fashion  ,contemporary apparel for confident modern men,,,,,,,,,,,,
The Bear House  ,@bearhouseindia,Men's Fashion  ,smart casual fashion for urban men,,,,,,,,,,,,
Urbanic    ,@urbanic.official,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
20Dresses    ,@20dresses,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Fashor    ,@fashor_com,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
FableStreet    ,@fable.street,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
AKS Clothing   ,@aks.clothing,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Indya    ,@indya,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Label Life   ,@thelabellife,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Chalk Studio   ,@chalkstudio,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Aurelia    ,@aurelia_womenswear,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Biba    ,@bibaindia,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Global Desi   ,@myglobaldesi,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Libas    ,@libasindia,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Suta    ,@suta_bombay,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
FabIndia    ,@fabindiaofficial,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
W for Woman  ,@wforwoman,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Rangriti    ,@rangriti,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Okhai    ,@okhai_org,Womens Fashion  ,modern brand shaping womens fashion experiences,,,,,,,,,,,,
Comet    ,@thecometuniverse,Footwear   ,performance footwear blending comfort and style,,,,,,,,,,,,
